               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037522,            0.041916,           0.0089598,                   0,                   0,                   0,                   0,                   0,            0.057747,                   0,            0.070005,           0.0033328,           0.0033328
                   1,            0.040686,            0.042684,           0.0089083,                   0,                   0,                   0,                   0,                   0,            0.051454,                   0,            0.039972,           0.0066331,           0.0066331
                   2,            0.041639,            0.043689,           0.0092372,                   0,                   0,                   0,                   0,                   0,            0.052451,                   0,           0.0099058,           0.0099005,           0.0099005
                   3,            0.039338,            0.042703,            0.008773,                   0,                   0,                   0,                   0,                   0,            0.056185,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.037519,            0.041685,           0.0081217,                   0,                   0,                   0,                   0,                   0,            0.058449,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.03648,            0.040948,           0.0077239,                   0,                   0,                   0,                   0,                   0,            0.059984,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.03579,            0.040451,            0.007425,                   0,                   0,                   0,                   0,                   0,            0.060668,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.035362,            0.040121,           0.0072697,                   0,                   0,                   0,                   0,                   0,            0.061818,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.034925,              0.0398,           0.0071108,                   0,                   0,                   0,                   0,                   0,            0.062541,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.034605,            0.039407,           0.0069821,                   0,                   0,                   0,                   0,                   0,            0.062958,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.034446,            0.039553,           0.0069025,                   0,                   0,                   0,                   0,                   0,            0.063508,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.034166,            0.038991,           0.0067391,                   0,                   0,                   0,                   0,                   0,            0.064002,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.033948,            0.038969,           0.0066529,                   0,                   0,                   0,                   0,                   0,            0.064417,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033726,            0.038652,            0.006578,                   0,                   0,                   0,                   0,                   0,            0.064756,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.033641,            0.038719,           0.0064864,                   0,                   0,                   0,                   0,                   0,            0.064858,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.033266,             0.03808,           0.0061867,                   0,                   0,                   0,                   0,                   0,            0.065138,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.033107,            0.038151,           0.0061682,                   0,                   0,                   0,                   0,                   0,            0.065416,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032957,            0.037908,             0.00614,                   0,                   0,                   0,                   0,                   0,            0.065609,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.033019,             0.03808,           0.0060986,                   0,                   0,                   0,                   0,                   0,             0.06566,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032757,            0.037623,             0.00595,                   0,                   0,                   0,                   0,                   0,            0.065723,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.032207,            0.036647,           0.0054641,                   0,                   0,                   0,                   0,                   0,            0.065829,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03275,            0.037885,           0.0060493,                   0,                   0,                   0,                   0,                   0,            0.065905,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.032542,            0.037549,           0.0059527,                   0,                   0,                   0,                   0,                   0,            0.065944,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03255,            0.037689,           0.0058891,                   0,                   0,                   0,                   0,                   0,            0.065921,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.032789,            0.038072,           0.0061828,                   0,                   0,                   0,                   0,                   0,            0.065897,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.032609,            0.037935,           0.0061062,                   0,                   0,                   0,                   0,                   0,            0.065851,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.032612,            0.037913,            0.006092,                   0,                   0,                   0,                   0,                   0,            0.065825,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.032474,            0.037801,           0.0060445,                   0,                   0,                   0,                   0,                   0,            0.065791,                   0,            0.008713,            0.008713,            0.008713
                  19,            0.032757,            0.037623,             0.00595,                   0,                   0,                   0,                   0,                   0,            0.065723,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.032207,            0.036647,           0.0054641,                   0,                   0,                   0,                   0,                   0,            0.065829,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,             0.03275,            0.037885,           0.0060493,                   0,                   0,                   0,                   0,                   0,            0.065905,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.032542,            0.037549,           0.0059527,                   0,                   0,                   0,                   0,                   0,            0.065944,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03255,            0.037689,           0.0058891,                   0,                   0,                   0,                   0,                   0,            0.065921,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.032789,            0.038072,           0.0061828,                   0,                   0,                   0,                   0,                   0,            0.065897,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.032609,            0.037935,           0.0061062,                   0,                   0,                   0,                   0,                   0,            0.065851,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.032612,            0.037913,            0.006092,                   0,                   0,                   0,                   0,                   0,            0.065825,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.032474,            0.037801,           0.0060445,                   0,                   0,                   0,                   0,                   0,            0.065791,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.032377,            0.037553,           0.0059981,                   0,                   0,                   0,                   0,                   0,            0.065757,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.032397,            0.037825,            0.005979,                   0,                   0,                   0,                   0,                   0,            0.065746,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.032321,            0.037679,           0.0060081,                   0,                   0,                   0,                   0,                   0,            0.065719,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.032235,            0.037538,           0.0059343,                   0,                   0,                   0,                   0,                   0,             0.06569,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.032164,            0.037592,           0.0059251,                   0,                   0,                   0,                   0,                   0,             0.06563,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,             0.03219,             0.03756,           0.0058854,                   0,                   0,                   0,                   0,                   0,            0.065565,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.032039,            0.037316,           0.0058707,                   0,                   0,                   0,                   0,                   0,            0.065477,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.03202,            0.037429,           0.0058559,                   0,                   0,                   0,                   0,                   0,             0.06543,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.031954,            0.037364,           0.0058292,                   0,                   0,                   0,                   0,                   0,            0.065374,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03189,            0.037333,           0.0057269,                   0,                   0,                   0,                   0,                   0,            0.065334,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.031817,            0.037183,           0.0057635,                   0,                   0,                   0,                   0,                   0,            0.065297,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03183,            0.037114,           0.0058069,                   0,                   0,                   0,                   0,                   0,            0.065275,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.031678,            0.036817,           0.0055907,                   0,                   0,                   0,                   0,                   0,            0.065236,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031611,            0.036948,           0.0056078,                   0,                   0,                   0,                   0,                   0,            0.065244,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.031552,            0.036794,           0.0056025,                   0,                   0,                   0,                   0,                   0,            0.065242,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031183,            0.036148,           0.0052336,                   0,                   0,                   0,                   0,                   0,            0.065259,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.031175,            0.036327,           0.0052638,                   0,                   0,                   0,                   0,                   0,            0.065274,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030858,            0.035622,           0.0049945,                   0,                   0,                   0,                   0,                   0,            0.065365,                   0,            0.007822,            0.007822,            0.007822
                  46,             0.03083,            0.035793,           0.0050181,                   0,                   0,                   0,                   0,                   0,            0.065443,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031322,            0.036566,           0.0054567,                   0,                   0,                   0,                   0,                   0,             0.06548,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.03159,             0.03705,            0.005658,                   0,                   0,                   0,                   0,                   0,            0.065507,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.031465,            0.036893,           0.0055818,                   0,                   0,                   0,                   0,                   0,            0.065508,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.031356,            0.036841,           0.0055604,                   0,                   0,                   0,                   0,                   0,            0.065512,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03136,            0.036819,           0.0055471,                   0,                   0,                   0,                   0,                   0,            0.065552,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.031257,            0.036732,            0.005509,                   0,                   0,                   0,                   0,                   0,            0.065603,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031191,             0.03653,           0.0054818,                   0,                   0,                   0,                   0,                   0,             0.06565,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.031285,            0.036843,           0.0054809,                   0,                   0,                   0,                   0,                   0,            0.065744,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031201,            0.036677,           0.0054745,                   0,                   0,                   0,                   0,                   0,            0.065835,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.031132,            0.036557,           0.0054656,                   0,                   0,                   0,                   0,                   0,            0.065887,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.031043,            0.036595,           0.0054298,                   0,                   0,                   0,                   0,                   0,            0.065967,                   0,            0.007228,            0.007228,            0.007228
                  58,             0.03112,            0.036616,           0.0054155,                   0,                   0,                   0,                   0,                   0,            0.066024,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,               0.031,            0.036382,           0.0053969,                   0,                   0,                   0,                   0,                   0,            0.066078,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.030965,            0.036462,           0.0053723,                   0,                   0,                   0,                   0,                   0,            0.066175,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.030929,            0.036456,           0.0053493,                   0,                   0,                   0,                   0,                   0,            0.066254,                   0,             0.00703,             0.00703,             0.00703
                  62,             0.03089,            0.036451,           0.0053035,                   0,                   0,                   0,                   0,                   0,            0.066335,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.030819,            0.036267,           0.0052879,                   0,                   0,                   0,                   0,                   0,            0.066419,                   0,            0.006931,            0.006931,            0.006931
                  64,             0.03074,            0.035942,           0.0051711,                   0,                   0,                   0,                   0,                   0,            0.066527,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.030668,            0.036043,           0.0051679,                   0,                   0,                   0,                   0,                   0,            0.066603,                   0,            0.006832,            0.006832,            0.006832
                  66,             0.03068,            0.036001,           0.0052151,                   0,                   0,                   0,                   0,                   0,              0.0667,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03075,            0.036214,           0.0052303,                   0,                   0,                   0,                   0,                   0,            0.066792,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.030678,            0.036165,           0.0052256,                   0,                   0,                   0,                   0,                   0,            0.066898,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.030593,            0.036121,           0.0051859,                   0,                   0,                   0,                   0,                   0,            0.066992,                   0,            0.006634,            0.006634,            0.006634
                  70,             0.03035,            0.035501,           0.0049444,                   0,                   0,                   0,                   0,                   0,            0.067075,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.030287,            0.035549,           0.0049212,                   0,                   0,                   0,                   0,                   0,             0.06718,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.030292,            0.035517,           0.0049692,                   0,                   0,                   0,                   0,                   0,              0.0673,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.030366,            0.035764,               0.005,                   0,                   0,                   0,                   0,                   0,            0.067421,                   0,            0.006436,            0.006436,            0.006436
